,0
Drama,4523
Comedy,3626
Thriller,2757
Action,2349
Adventure,1700
Romance,1699
Crime,1573
Horror,1475
Science Fiction,1235
Fantasy,1154
Family,1134
Mystery,966
Animation,910
History,490
War,324
Music,279
Western,152
TV Movie,119
