data,val_micro_f1,val_macro_f1,val_hamming_loss,test_micro_f1,test_macro_f1,test_hamming_loss
overview,0.3716971094165632,0.18273811267482173,0.12325193070340221,0.3874404261283992,0.19566661015775558,0.12163215319527945
title + overview,0.3878809230227233,0.1972600435663337,0.12088638419258331,0.3990492170022371,0.20620775511251552,0.11962814517924739
